TimeOccur,GeoX,GeoY,Type
06/30/2022 14:00:05,246355600,95503081,BURGLARY
06/29/2022 14:45:50,245107200,93710900,THEFT BY DECEPT
06/29/2022 00:01:00,246949950,95309138,ASSAULT OR BATT
06/29/2022 00:00:00,246165043,95244898,ASSAULT OR BATT
06/28/2022 17:00:00,246127975,96088638,BURGLARY
06/28/2022 00:46:00,247314800,94580738,ASSAULT OR BATT
06/28/2022 00:00:00,245782053,96244052,THEFT BY TAKING
06/27/2022 21:52:59,246391850,94075244,ASSAULT OR BATT
06/27/2022 21:10:00,246459800,95433844,THEFT OF MOTOR
06/27/2022 13:01:59,245714600,94470994,THEFT BY TAKING
06/27/2022 11:50:00,246889700,94878863,ASSAULT OR BATT
06/27/2022 09:17:59,245404050,95884575,ASSAULT OR BATT
06/27/2022 02:00:00,246349225,95285963,ASSAULT OR BATT
06/27/2022 01:45:59,246716600,96029662,ASSAULT OR BATT
06/26/2022 22:00:59,246385600,94063450,THEFT BY TAKING
06/26/2022 20:56:59,245225925,96445469,THEFT BY DECEPT
06/26/2022 19:12:59,246303825,95222788,ASSAULT OR BATT
06/26/2022 18:43:59,246590400,95502181,ASSAULT OR BATT
06/26/2022 02:30:00,247240825,94705437,ASSAULT OR BATT
06/26/2022 02:00:00,244798625,95257056,THEFT BY TAKING
06/25/2022 21:00:00,244208800,92897131,THEFT BY TAKING
06/25/2022 20:00:59,246067525,95576881,ASSAULT OR BATT
06/25/2022 19:47:45,246821550,94767112,BURGLARY
06/25/2022 00:00:00,245672675,95353569,THEFT OF MOTOR
06/24/2022 21:00:00,246339575,94509031,ASSAULT OR BATT
06/24/2022 19:00:00,244222325,95233156,THEFT BY TAKING
06/24/2022 16:50:00,245245975,96383975,ROBBERY
06/23/2022 15:00:00,246463750,95434406,THEFT OF MOTOR
06/23/2022 00:39:59,244613375,94704050,THEFT BY TAKING
06/23/2022 00:00:59,247240825,94705438,THEFT OF MOTOR
06/22/2022 22:30:59,246347025,94527869,BURGLARY
06/22/2022 20:51:59,244484475,92895375,THEFT BY TAKING
06/22/2022 19:40:59,246179775,95882269,LARCENY-BICYCLE
