TimeOccur,GeoX,GeoY,Type
10/23/2022 21:21:59,2463126,960170.75,Weapon Law Violations
10/23/2022 20:15:00,2468494.25,958466.62,Larceny
10/23/2022 20:00:00,2465460,959869.56,Assault Offenses
10/23/2022 18:30:00,2465999.25,958271.18,Assault Offenses
10/23/2022 18:20:59,2468326.5,956611.38,Burglary
10/23/2022 18:20:59,2468326.5,956611.38,Drugs-Narcotics
10/23/2022 16:09:59,2463586.5,956708.19,Assault Offenses
10/23/2022 14:00:00,2449550,952539.93,Larceny
10/23/2022 13:30:59,2436245,955717.88,Assault Offenses
10/23/2022 13:30:00,2452907,946571.75,Assault Offenses
10/23/2022 13:00:00,2466551,937751.56,Vandalism
10/23/2022 10:22:59,2464853,961686.44,Larceny
10/23/2022 04:45:00,2451072,937109,Larceny
10/23/2022 00:00:00,2459574,955212.06,Larceny
10/22/2022 21:55:59,2448420.25,953793.25,Larceny
10/22/2022 21:30:00,2441141,937727.56,Assault Offenses
10/22/2022 20:00:00,2465977,961693.44,Larceny
10/22/2022 20:00:00,2450663.5,942324.5,Larceny
10/22/2022 18:30:00,2434973.75,953879.87,Larceny
10/22/2022 13:33:00,2458796.75,952678.75,Larceny
10/22/2022 13:00:00,2455305,936283.88,Vandalism
10/22/2022 13:00:00,2455305,936283.88,Larceny
10/22/2022 12:32:59,2459634.25,963149.56,Assault Offenses
10/22/2022 12:00:00,2472425.25,947357.68,Vandalism
10/22/2022 09:00:00,2471516.5,950553.69,Vandalism
10/22/2022 03:40:00,2456660,959333.31,Burglary
10/22/2022 00:08:59,2455924.5,943782.38,Assault Offenses
10/21/2022 22:00:00,2450171.75,950701.06,Vandalism
10/21/2022 20:30:00,2469052.5,959015.93,Vandalism
10/21/2022 17:00:00,2438169.75,950931.19,Larceny
10/21/2022 17:00:00,2451072,937109,Larceny
10/21/2022 16:36:59,2458396,951158.25,Assault Offenses
10/21/2022 12:55:59,2458256.75,957799.81,Larceny
10/21/2022 08:25:00,2450171.75,950701.06,Assault Offenses
10/21/2022 02:29:59,2446360,952556.63,Drugs-Narcotics
10/21/2022 00:48:59,2457834.25,956104.94,Assault Offenses
10/20/2022 20:08:59,2443494.75,951987.75,Fraud Offenses
10/20/2022 20:00:00,2473276.5,944835.63,Larceny
10/20/2022 19:33:59,2458415.5,952765.44,Counterfeiting-Forgery
10/20/2022 19:20:59,2459759.25,943889.94,Assault Offenses
10/20/2022 19:19:59,2459577,964076.38,Assault Offenses
10/20/2022 18:11:59,2462895.5,955673.38,Fraud Offenses
10/20/2022 17:41:59,2466171.75,954128.88,Assault Offenses
10/20/2022 16:55:59,2462428.25,956794.94,Assault Offenses
10/20/2022 15:30:00,2457023,958616.93,Assault Offenses
10/20/2022 14:49:00,2450139.5,947054.12,Assault Offenses
10/20/2022 11:38:00,2464640.25,956569.62,Assault Offenses
10/20/2022 10:15:00,2469042,945182.44,Vandalism
10/20/2022 10:00:00,2461650.5,952449,Assault Offenses
10/20/2022 07:30:00,2466601,950323.31,Larceny
10/20/2022 06:40:00,2457763,955402.56,Assault Offenses
10/20/2022 02:30:00,2465429.75,949016.5,Vandalism
10/20/2022 00:39:59,2465129.25,952815.69,Drugs-Narcotics
10/20/2022 00:34:59,2451219.75,946977.31,Vandalism
10/20/2022 00:34:59,2451219.75,946977.31,Assault Offenses
10/20/2022 00:30:00,2455683.5,943987.25,Larceny
10/20/2022 00:01:59,2466611,962735.44,Drugs-Narcotics
10/20/2022 00:00:00,2460048.25,963511.31,Fraud Offenses
10/19/2022 22:49:59,2460737.25,959222.38,Larceny
10/19/2022 22:15:59,2460646.75,951153.81,Assault Offenses
10/19/2022 19:18:00,2452055.25,957274.93,Assault Offenses
10/19/2022 17:36:00,2453612.25,952556.56,Vandalism
10/19/2022 17:30:00,2460646.75,951153.81,Assault Offenses
10/19/2022 14:02:00,2447993.75,953337.31,Larceny
10/19/2022 14:02:00,2447993.75,953337.31,Fraud Offenses
10/19/2022 12:00:59,2442223.25,952331.56,Larceny
10/19/2022 12:00:59,2442223.25,952331.56,Fraud Offenses
10/19/2022 10:17:00,2467053.75,956993.12,Burglary
10/19/2022 09:43:59,2466601,950323.31,Stolen Property Offenses
10/19/2022 09:43:59,2466601,950323.31,Weapon Law Violations
10/19/2022 05:40:00,2426634.75,950519.81,Robbery
10/19/2022 04:47:47,2458401.5,949200.25,Assault Offenses
10/19/2022 00:28:00,2462883.75,947032.81,Drugs-Narcotics
10/19/2022 00:28:00,2462883.75,947032.81,Vandalism
10/18/2022 23:30:00,2466881.25,958195.31,Larceny
10/18/2022 17:30:00,2466089.25,962604.25,Assault Offenses
10/18/2022 15:03:59,2460077.5,952995.06,Assault Offenses
10/18/2022 15:00:00,2451079.25,963215.38,Larceny
10/18/2022 15:00:00,2450098.25,929484.81,Counterfeiting-Forgery
10/18/2022 14:00:00,2467850.5,960268.44,Larceny
10/18/2022 14:00:00,2460002,958925.5,Larceny
10/18/2022 13:29:59,2468494.25,958466.63,Assault Offenses
10/18/2022 09:47:59,2466601,950323.31,Assault Offenses
10/18/2022 09:47:59,2466601,950323.31,Drugs-Narcotics
10/18/2022 09:00:59,2459634.25,963149.56,Assault Offenses
10/18/2022 01:17:00,2466562.75,948317.94,Rape
10/18/2022 00:40:00,2466562.75,948693.37,Vandalism
10/17/2022 23:50:00,2451577.75,942152.56,Larceny
10/17/2022 23:00:00,2456285.5,946103,Theft of Motor Vehicles
10/17/2022 20:00:00,2451072,937109,Theft of Motor Vehicles
